266 0.2208
-9.97 -1.8400 0.3312
-10.05 -1.5333 0.2760
-10.11 -1.2267 0.2208
-10.18 -1.5333 0.2760
-10.25 -1.2267 0.2208
-10.31 -1.2266 0.2208
-10.35 -0.9200 0.1656
-10.41 -1.2267 0.2208
-10.45 -0.6133 0.1104
-10.49 -0.9200 0.1656
-10.51 -0.3067 0.0552
-10.54 -0.6133 0.1104
-10.57 -0.6133 0.1104
-10.58 -0.3067 0.0552
-10.60 -0.3067 0.0552
-10.61 -0.3066 0.0552
-10.61 0.0000 0.0000
-10.61 0.0000 0.0000
-10.63 -0.3067 0.0552
-10.63 0.0000 0.0000
-10.64 -0.3067 0.0552
-10.68 -0.6133 0.1104
-10.69 -0.3067 0.0552
-10.69 0.0000 0.0000
-10.71 -0.3067 0.0552
-10.71 0.0000 0.0000
-10.72 -0.3066 0.0552
-10.74 -0.3067 0.0552
-10.75 -0.3067 0.0552
-10.75 0.0000 0.0000
-10.77 -0.3067 0.0552
-10.77 0.0000 0.0000
-10.77 0.0000 0.0000
-10.77 0.0000 0.0000
-10.80 -0.6133 0.1104
-10.81 -0.3067 0.0552
-10.86 -0.9200 0.1656
-10.87 -0.3067 0.0552
-10.89 -0.3066 0.0552
-10.91 -0.3067 0.0552
-10.92 -0.3067 0.0552
-10.92 0.0000 0.0000
-10.92 0.0000 0.0000
-10.92 0.0000 0.0000
-10.94 -0.3067 0.0552
-10.95 -0.3066 0.0552
-10.98 -0.6133 0.1104
-11.03 -0.9200 0.1656
-11.06 -0.6133 0.1104
-11.07 -0.3067 0.0552
-11.10 -0.6133 0.1104
-11.12 -0.3066 0.0552
-11.14 -0.3067 0.0552
-11.14 0.0000 0.0000
-11.14 0.0000 0.0000
-11.17 -0.6133 0.1104
-11.20 -0.6133 0.1104
-11.21 -0.3067 0.0552
-11.26 -0.9200 0.1656
-11.29 -0.6133 0.1104
-11.32 -0.6133 0.1104
-11.35 -0.6133 0.1104
-11.37 -0.3067 0.0552
-11.38 -0.3067 0.0552
-11.40 -0.3067 0.0552
-11.40 0.0000 0.0000
-11.41 -0.3067 0.0552
-11.44 -0.6133 0.1104
-11.47 -0.6133 0.1104
-11.50 -0.6133 0.1104
-11.55 -0.9200 0.1656
-11.58 -0.6133 0.1104
-11.64 -1.2267 0.2208
-11.69 -0.9200 0.1656
-11.73 -0.9200 0.1656
-11.79 -1.2266 0.2208
-11.84 -0.9200 0.1656
-11.92 -1.5333 0.2760
-11.98 -1.2267 0.2208
-12.07 -1.8400 0.3312
-12.15 -1.5333 0.2760
-12.25 -2.1467 0.3864
-12.36 -2.1467 0.3864
-12.48 -2.4533 0.4416
-12.67 -3.6800 0.6624
-12.88 -4.2933 0.7728
-13.17 -5.8266 1.0488
-13.51 -6.7467 1.2144
-13.91 -7.9733 1.4352
-14.28 -7.3600 1.3248
-14.62 -6.7467 1.2144
-14.86 -4.9066 0.8832
-15.05 -3.6800 0.6624
-15.18 -2.7600 0.4968
-15.34 -3.0667 0.5520
-15.49 -3.0666 0.5520
-15.72 -4.6000 0.8280
-16.01 -5.8266 1.0488
-16.39 -7.6666 1.3800
-16.75 -7.0533 1.2696
-17.08 -6.7466 1.2144
-17.30 -4.2934 0.7728
-17.47 -3.3733 0.6072
-17.56 -1.8400 0.3312
-17.65 -1.8399 0.3312
-17.73 -1.5334 0.2760
-17.85 -2.4533 0.4416
-17.97 -2.4533 0.4416
-18.13 -3.0666 0.5520
-18.27 -2.7600 0.4968
-18.42 -3.0666 0.5520
-18.56 -2.7600 0.4968
-18.71 -3.0667 0.5520
-18.85 -2.7600 0.4968
-19.00 -3.0667 0.5520
-19.14 -2.7599 0.4968
-19.28 -2.7600 0.4968
-19.40 -2.4533 0.4416
-19.52 -2.4533 0.4416
-19.63 -2.1466 0.3864
-19.75 -2.4533 0.4416
-19.86 -2.1466 0.3864
-19.97 -2.1467 0.3864
-20.07 -2.1466 0.3864
-20.17 -1.8400 0.3312
-20.26 -1.8400 0.3312
-20.35 -1.8400 0.3312
